Meeting Shortname,Meeting Offname,Session Name,Start Date,End Date
2025 F1 Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Day 1,2025-02-26 07:00:00,2025-02-26 16:00:00
2025 F1 Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Day 2,2025-02-27 07:00:00,2025-02-27 16:00:00
2025 F1 Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Day 3,2025-02-28 07:00:00,2025-02-28 16:00:00
Australian,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Practice 1,2025-03-14 01:30:00,2025-03-14 02:30:00
Australian,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Practice 2,2025-03-14 05:00:00,2025-03-14 06:00:00
Australian,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Practice 3,2025-03-15 01:30:00,2025-03-15 02:30:00
Australian,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Qualifying,2025-03-15 05:00:00,2025-03-15 06:00:00
Australian,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Race,2025-03-16 04:00:00,
Chinese,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Practice 1,2025-03-21 03:30:00,2025-03-21 04:30:00
Chinese,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Sprint Qualifying,2025-03-21 07:30:00,2025-03-21 08:14:00
Chinese,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Sprint,2025-03-22 03:00:00,2025-03-22 04:00:00
Chinese,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Qualifying,2025-03-22 07:00:00,2025-03-22 08:00:00
Chinese,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Race,2025-03-23 07:00:00,
Japanese,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Practice 1,2025-04-04 02:30:00,2025-04-04 03:30:00
Japanese,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Practice 2,2025-04-04 06:00:00,2025-04-04 07:00:00
Japanese,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Practice 3,2025-04-05 02:30:00,2025-04-05 03:30:00
Japanese,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Qualifying,2025-04-05 06:00:00,2025-04-05 07:00:00
Japanese,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Race,2025-04-06 05:00:00,
Bahrain,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Practice 1,2025-04-11 11:30:00,2025-04-11 12:30:00
Bahrain,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Practice 2,2025-04-11 15:00:00,2025-04-11 16:00:00
Bahrain,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Practice 3,2025-04-12 12:30:00,2025-04-12 13:30:00
Bahrain,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Qualifying,2025-04-12 16:00:00,2025-04-12 17:00:00
