,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
1,9574,00:00:03.734,11,,,False,2.0,2,True,11,False,True,False,False,80.0,,,0.0,False,False,,,
21,9574,00:00:05.474,11,,,,,,,,,,,,,,,,,,,,
57,9574,00:11:50.163,11,,,,,,,,,False,,,64.0,,,,,,,,
66,9574,00:11:57.383,11,,,,,,,,,,,,,,,,,,,,
73,9574,00:12:02.357,11,,,,,,,,,,,,,,,,,,,,
80,9574,00:12:05.996,11,,,,,,,,,,,,,,,,,,,,
86,9574,00:12:08.447,11,,,,,,,,,,,,,,,,,,,,
98,9574,00:12:14.844,11,,,,,,,,,,,,,,,,,,,,
108,9574,00:12:19.562,11,,,,,,,,,,,,,,,,,,,,
119,9574,00:12:23.529,11,,,,,,,,,,,,,,,,,,,,
130,9574,00:12:27.983,11,,,,,,,,,,,,,,,,,,,,
141,9574,00:12:31.421,11,,,,,,,,,,,,,,,,,,,,
164,9574,00:12:39.456,11,,,,,,,,,,,,,,,,,,,,
177,9574,00:12:43.664,11,,,,,,,,,,,,,,,,,,,,
189,9574,00:12:47.953,11,,,,,,,,,,,,,,,,,,,,
199,9574,00:12:51.699,11,,,,,,,,,,,,,,,,,,,,
211,9574,00:12:55.412,11,,,,,,,,,,,,,,,,,,,,
241,9574,00:13:04.262,11,,,,,,,,,,,,,,,,,,,,
257,9574,00:13:08.795,11,,,,,,,,,,,,,,,,,,,,
282,9574,00:13:14.232,11,,,,,,,,,,,,,,,,,,,,
290,9574,00:13:16.759,11,,,,,,,,,,,,,,,,,,,,
304,9574,00:13:19.866,11,,,,,,,,,,,,,,,,,,,,
317,9574,00:13:23.594,11,,,,,,,,,,,,,,,,,,,,
331,9574,00:13:27.481,11,,,,,,,,,,,,,,,,,,,,
352,9574,00:13:34.349,11,,,,,,,,,,,,,,,,,,,,
384,9574,00:13:42.467,11,,,,,,,,,,,,,,,,,,,,
385,9574,00:13:42.506,11,,,,,,,,,True,,,80.0,,,,,,,,
456,9574,00:14:04.138,11,,,,,,,,,False,,,64.0,,,,,,,,
476,9574,00:14:09.900,11,,,,,,,,,,,,,,,,,,,,
489,9574,00:14:14.691,11,,,,,,,,,,,,,,,,,,,,
501,9574,00:14:18.291,11,,,,,,,,,,,,,,,,,,,,
512,9574,00:14:20.609,11,,,,,,,,,,,,,,,,,,,,
520,9574,00:14:24.024,11,,,,,,,,,,,,,,,,,,,,
532,9574,00:14:27.118,11,,,,,,,,,,,,,,,,,,,,
548,9574,00:14:31.802,11,,,,,,,,,,,,,,,,,,,,
570,9574,00:14:39.120,11,,,,,,,,,,,,,,,,,,,,
600,9574,00:14:50.447,11,,,,,,,,,,,,,,,,,,,,
614,9574,00:14:54.509,11,,,,,,,,,,,,,,,,,,,,
628,9574,00:14:58.792,11,,,,,,,,,,,,,,,,,,,,
640,9574,00:15:02.537,11,,,,,,,,,,,,,,,,,,,,
649,9574,00:15:06.224,11,,,,,,,,,,,,,,,,,,,,
660,9574,00:15:10.653,11,,,,,,,,,,,,,,,,,,,,
672,9574,00:15:14.994,11,,,,,,,,,,,,,,,,,,,,
687,9574,00:15:19.496,11,,,,,,,,,,,,,,,,,,,,
703,9574,00:15:24.775,11,,,,,,,,,,,,,,,,,,,,
708,9574,00:15:27.258,11,,,,,,,,,,,,,,,,,,,,
728,9574,00:15:34.266,11,,,,,,,,,,,,,,,,,,,,
737,9574,00:15:38.219,11,,,,,,,,,,,,,,,,,,,,
757,9574,00:15:43.912,11,,,,,,,,,,,,,,,,,,,,
774,9574,00:15:50.985,11,,,,,,,,,,,,,,,,,,,,
775,9574,00:15:51.157,11,,,,,,,,,True,,,80.0,,,,,,,,
848,9574,00:16:13.270,11,,,,,,,,,False,,,64.0,,,,,,,,
875,9574,00:16:20.614,11,,,,,,,,,,,,,,,,,,,,
894,9574,00:16:25.461,11,,,,,,,,,,,,,,,,,,,,
905,9574,00:16:28.905,11,,,,,,,,,,,,,,,,,,,,
913,9574,00:16:31.325,11,,,,,,,,,,,,,,,,,,,,
928,9574,00:16:34.787,11,,,,,,,,,,,,,,,,,,,,
939,9574,00:16:37.725,11,,,,,,,,,,,,,,,,,,,,
956,9574,00:16:42.101,11,,,,,,,,,,,,,,,,,,,,
970,9574,00:16:45.641,11,,,,,,,,,,,,,,,,,,,,
986,9574,00:16:50.129,11,,,,,,,,,,,,,,,,,,,,
997,9574,00:16:53.663,11,,,,,,,,,,,,,,,,,,,,
1010,9574,00:16:57.417,11,,,,,,,,,,,,,,,,,,,,
1023,9574,00:17:01.710,11,,,,,,,,,,,,,,,,,,,,
1057,9574,00:17:10.096,11,,,,,,,,,,,,,,,,,,,,
1071,9574,00:17:13.718,11,,,,,,,,,,,,,,,,,,,,
1081,9574,00:17:17.463,11,,,,,,,,,,,,,,,,,,,,
1114,9574,00:17:26.461,11,,,,,,,,,,,,,,,,,,,,
1130,9574,00:17:31.088,11,,,,,,,,,,,,,,,,,,,,
1148,9574,00:17:36.529,11,,,,,,,,,,,,,,,,,,,,
1158,9574,00:17:38.898,11,,,,,,,,,,,,,,,,,,,,
1170,9574,00:17:41.974,11,,,,,,,,,,,,,,,,,,,,
1182,9574,00:17:45.959,11,,,,,,,,,,,,,,,,,,,,
1194,9574,00:17:49.769,11,,,,,,,,,,,,,,,,,,,,
1214,9574,00:17:55.519,11,,,,,,,,,,,,,,,,,,,,
1235,9574,00:18:02.336,11,,,,,,,,,,,,,,,,,,,,
1236,9574,00:18:02.529,11,,,,,,,,,True,,,80.0,,,,,,,,
1444,9574,00:19:13.289,11,,,,,,,,,False,,,64.0,,,,,,,,
1506,9574,00:19:34.261,11,,,,,,,,,,,,,,,,,,,,
1507,9574,00:19:34.267,11,,,,,,,,,,,,,,,,,,,,
1522,9574,00:19:39.556,11,,,,,,,,,,,,,,,,,,,,
1530,9574,00:19:42.924,11,,,,,,,,,,,,,,,,,,,,
1536,9574,00:19:45.426,11,,,,,,,,,,,,,,,,,,,,
1548,9574,00:19:48.871,11,,,,,,,,,,,,,,,,,,,,
1555,9574,00:19:51.925,11,,,,,,,,,,,,,,,,,,,,
1566,9574,00:19:56.558,11,,,,,,,,,,,,,,,,,,,,
1573,9574,00:19:59.702,11,,,,,,,,,,,,,,,,,,,,
1581,9574,00:20:04.025,11,,,,,,,,,,,,,,,,,,,,
1587,9574,00:20:07.318,11,,,,,,,,,,,,,,,,,,,,
1590,9574,00:20:11.083,11,,,,,,,,,,,,,,,,,,,,
1595,9574,00:20:15.329,11,,,,,,,,,,,,,,,,,,,,
1601,9574,00:20:19.230,11,,,,,,,,,,,,,,,,,,,,
1609,9574,00:20:23.508,11,,,,,,,,,,,,,,,,,,,,
1618,9574,00:20:30.924,11,,,,,,,,,,,,,,,,,,,,
