,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
10,9574,00:00:03.734,1,,,False,11.0,11,True,1,False,True,False,False,80.0,,,0.0,False,False,,,
30,9574,00:00:05.474,1,,,,,,,,,,,,,,,,,,,,
260,9574,00:13:09.181,1,,,,,,,,,False,,,64.0,,,,,,,,
293,9574,00:13:17.594,1,,,,,,,,,,,,,,,,,,,,
325,9574,00:13:25.748,1,,,,,,,,,,,,,,,,,,,,
336,9574,00:13:29.450,1,,,,,,,,,,,,,,,,,,,,
348,9574,00:13:31.904,1,,,,,,,,,,,,,,,,,,,,
355,9574,00:13:35.389,1,,,,,,,,,,,,,,,,,,,,
371,9574,00:13:38.595,1,,,,,,,,,,,,,,,,,,,,
387,9574,00:13:43.223,1,,,,,,,,,,,,,,,,,,,,
397,9574,00:13:46.414,1,,,,,,,,,,,,,,,,,,,,
413,9574,00:13:50.745,1,,,,,,,,,,,,,,,,,,,,
422,9574,00:13:54.005,1,,,,,,,,,,,,,,,,,,,,
436,9574,00:13:57.558,1,,,,,,,,,,,,,,,,,,,,
448,9574,00:14:01.819,1,,,,,,,,,,,,,,,,,,,,
464,9574,00:14:05.859,1,,,,,,,,,,,,,,,,,,,,
486,9574,00:14:13.992,1,,,,,,,,,,,,,,,,,,,,
498,9574,00:14:17.846,1,,,,,,,,,,,,,,,,,,,,
530,9574,00:14:26.373,1,,,,,,,,,,,,,,,,,,,,
543,9574,00:14:30.813,1,,,,,,,,,,,,,,,,,,,,
562,9574,00:14:36.174,1,,,,,,,,,,,,,,,,,,,,
569,9574,00:14:38.685,1,,,,,,,,,,,,,,,,,,,,
577,9574,00:14:41.862,1,,,,,,,,,,,,,,,,,,,,
587,9574,00:14:45.739,1,,,,,,,,,,,,,,,,,,,,
599,9574,00:14:49.673,1,,,,,,,,,,,,,,,,,,,,
620,9574,00:14:55.890,1,,,,,,,,,,,,,,,,,,,,
635,9574,00:15:01.944,1,,,,,,,,,True,,,80.0,,,,,,,,
636,9574,00:15:01.990,1,,,,,,,,,,,,,,,,,,,,
755,9574,00:15:43.251,1,,,,,,,,,False,,,64.0,,,,,,,,
849,9574,00:16:13.356,1,,,,,,,,,,,,,,,,,,,,
850,9574,00:16:13.434,1,,,,,,,,,,,,,,,,,,,,
867,9574,00:16:18.472,1,,,,,,,,,,,,,,,,,,,,
880,9574,00:16:21.933,1,,,,,,,,,,,,,,,,,,,,
